date,close,high,low,trade_count,open,volume,vwap,symbol
2023-09-20,153.61,154.88,153.37,42894,154.06,2744851,154.012365,ABBV
2023-09-20,316.8,323.32,316.45,36456,318.75,1693190,319.422573,ACN
2023-09-20,80.45,81.37,79.92,33770,80.54,2074008,80.686756,AEP
2023-09-20,141.7,142.7,141.19,7085,141.19,190144,142.038767,AIZ
2023-09-20,104.25,107.36,104.17,13863,106.68,648166,105.704908,ALLE
2023-09-20,136.97,139.66,136.89,84208,138.76,5808098,137.691607,AMAT
2023-09-20,344.99,350.09,344.69,8747,348.46,330824,346.892158,AMP
2023-09-20,135.29,139.37,135.2,403117,138.55,46271785,136.916438,AMZN
2023-09-20,182.68,183.94,181.88,10408,182.88,500289,182.91456,AVB
2023-09-20,183.67,186.9,183.161,14903,183.95,492241,184.608577,AVY
2023-09-20,157.23,160.2,156.88,34997,160.0,1969737,158.284369,AXP
2023-09-20,35.67,36.43,35.65,2952,36.1,104128,35.872322,B
2023-09-20,267.13,268.97,266.84,24246,267.5,1256521,267.758265,BDX
2023-09-20,58.78,59.305,58.71,66338,58.8,8699642,58.9676,BMY
2023-09-20,184.49,187.67,184.14,11956,186.16,527474,185.68621,BR
2023-09-20,53.83,54.72,53.76,31735,54.3,2856752,54.099452,CARR
2023-09-20,209.0,209.675,207.75,15692,208.49,610715,208.846225,CDW
2023-09-20,127.99,131.05,127.59,13637,128.87,787943,128.565888,CE
2023-09-20,448.17,454.835,448.16,18815,450.12,731781,451.073665,CHTR
2023-09-20,68.08,68.48,67.23,33559,68.22,2591603,68.067279,CNC
2023-09-20,28.82,29.25,28.805,30841,29.1,3662130,28.96909,CNP
2023-09-20,121.17,123.81,121.055,52607,122.63,3444950,122.185013,COP
2023-09-20,514.53,522.29,514.26,11777,517.52,223891,517.153293,CTAS
2023-09-20,50.17,51.235,49.9443,34862,49.95,2007685,50.636484,CZR
2023-09-20,115.66,116.65,112.0,80549,113.905,6110581,114.819747,DG
2023-09-20,384.84,388.83,384.41,10881,384.41,329133,386.360226,DPZ
2023-09-20,20.55,20.94,20.53,19595,20.63,3060099,20.634468,DXC
2023-09-20,75.05,76.5765,75.02,24829,76.13,1384716,75.605058,FTV
2023-09-20,134.59,138.84,134.52,230737,138.83,21486640,136.17586,GOOG
2023-09-20,149.26,150.65,148.295,16154,149.14,796287,149.700967,GPC
2023-09-20,73.95,74.67,73.845,14864,74.07,1062665,74.128706,HIG
2023-09-20,16.2,16.53,16.18,32745,16.43,4622574,16.327464,HST
2023-09-20,148.3,150.25,148.135,88656,149.65,7334257,149.047239,JPM
2023-09-20,46.18,46.5,45.75,33857,45.96,3394025,46.231339,KR
2023-09-20,299.67,308.06,299.43,203808,305.05,19382247,303.183307,META
2023-09-20,18.92,19.17,18.89,24169,19.1,2716843,19.013551,OGN
2023-09-20,153.47,154.775,153.36,75373,153.77,5446572,153.9478,PG
2023-09-20,120.91,123.09,120.87,25701,122.45,2497841,121.398147,PLD
2023-09-20,25.67,25.8982,25.47,28370,25.63,3257121,25.699664,PPL
2023-09-20,98.93,99.96,98.83,22218,99.47,1194370,99.339919,PRU
2023-09-20,60.86,62.62,60.83,105257,62.56,11142515,61.623859,PYPL
2023-09-20,103.0,104.62,102.7,7934,102.75,374522,103.568648,R
2023-09-20,38.68,38.97,38.36,23838,38.48,2326943,38.738792,ROL
2023-09-20,114.95,116.425,114.9,36566,116.31,2267899,115.584783,ROST
2023-09-20,492.13,495.11,479.14,73725,482.75,3725283,490.406971,UNH
2023-09-20,448.03,462.31,447.49,17354,453.95,622818,454.878059,URI
2023-09-20,241.86,244.53,241.67,88829,243.63,5756900,243.033567,V
2023-09-20,246.33,248.49,245.8,13431,247.44,616175,246.900357,VRSK
2023-09-20,35.53,36.79,35.525,46394,36.65,5787821,36.140979,WRK
2023-09-20,116.4,118.02,116.32,114021,116.54,11883209,117.103694,XOM
2023-09-21,153.43,154.85,152.66,53422,153.68,3660361,153.497634,ABBV
2023-09-21,312.0,316.52,311.67,39000,314.33,1911649,313.146076,ACN
2023-09-21,79.88,80.92,79.61,41230,80.39,3163467,80.226989,AEP
2023-09-21,143.04,143.43,141.3,9577,141.43,360466,142.921645,AIZ
2023-09-21,103.85,104.74,102.84,15028,103.66,736180,104.009357,ALLE
2023-09-21,135.19,137.515,134.935,85124,135.02,5241675,135.720365,AMAT
2023-09-21,337.23,342.87,337.17,10491,342.87,387118,338.572823,AMP
2023-09-21,129.33,132.24,129.31,643899,131.94,70356490,130.54272,AMZN
2023-09-21,179.51,181.93,179.4,15287,181.73,690029,180.11012,AVB
2023-09-21,180.07,183.51,180.02,13164,183.38,587827,181.368899,AVY
2023-09-21,154.71,156.865,154.44,48497,155.83,2712331,155.16121,AXP
2023-09-21,35.04,35.55,34.974,4352,35.47,200933,35.151495,B
2023-09-21,265.04,267.82,264.76,22759,266.74,988958,266.053069,BDX
2023-09-21,59.08,59.46,58.53,76073,58.56,9597340,59.088465,BMY
2023-09-21,183.5,185.18,183.3162,11634,184.19,526675,183.86528,BR
2023-09-21,52.56,53.5,52.28,39360,53.28,4185641,52.709268,CARR
2023-09-21,205.04,207.95,203.49,13679,207.54,437410,205.293929,CDW
2023-09-21,125.35,126.96,125.33,20118,126.96,1111304,125.791163,CE
2023-09-21,446.82,451.99,446.29,24993,449.15,1005178,448.865566,CHTR
2023-09-21,69.54,69.99,67.89,44155,68.2,4066825,69.508537,CNC
2023-09-21,28.39,28.8,28.38,36294,28.8,4918116,28.522032,CNP
2023-09-21,119.07,122.16,118.75,61024,122.03,4470853,119.674107,COP
2023-09-21,504.43,512.97,504.35,14902,512.9,366345,506.388725,CTAS
2023-09-21,47.51,49.7346,47.47,48075,49.66,3022170,48.238586,CZR
2023-09-21,109.76,115.89,109.75,63130,115.4,4406080,111.772099,DG
2023-09-21,378.05,382.5,375.785,15091,382.5,430934,378.509462,DPZ
2023-09-21,20.39,20.695,20.3,17253,20.32,2770418,20.477089,DXC
2023-09-21,73.92,74.77,73.88,16295,74.77,956491,74.170033,FTV
2023-09-21,131.36,133.19,131.09,262099,132.39,22062623,131.942448,GOOG
2023-09-21,145.64,148.63,145.61,16007,148.57,780544,146.343817,GPC
2023-09-21,72.98,73.88,72.77,24284,73.82,1418256,73.061388,HIG
2023-09-21,15.91,16.07,15.89,26976,16.07,4609137,15.956881,HST
2023-09-21,147.14,148.855,146.63,98146,147.58,8053410,147.514754,JPM
2023-09-21,45.71,46.14,45.52,46629,46.11,4798859,45.698407,KR
2023-09-21,295.73,300.2566,293.27,277434,295.7,21323668,296.596032,META
2023-09-21,18.58,18.995,18.57,24841,18.9,2405302,18.689737,OGN
2023-09-21,152.14,153.71,152.065,67868,153.45,5098146,152.594241,PG
2023-09-21,114.55,120.76,114.44,60970,119.74,3722852,115.842379,PLD
2023-09-21,25.25,25.68,25.25,34208,25.58,4871399,25.398582,PPL
2023-09-21,96.97,98.48,96.84,24058,98.42,1531388,97.190853,PRU
2023-09-21,58.62,60.305,58.614,161290,59.95,15362343,59.051258,PYPL
2023-09-21,103.9,104.705,102.475,10597,103.02,603240,103.681297,R
2023-09-21,37.94,38.67,37.79,27691,38.67,2452086,38.050279,ROL
2023-09-21,113.13,114.885,112.47,42217,114.5,2424101,113.351129,ROST
2023-09-21,501.14,505.135,493.08,106382,494.19,4703961,501.596739,UNH
2023-09-21,435.74,444.24,430.45,23425,444.0,883557,436.655332,URI
2023-09-21,236.61,240.78,236.27,102556,240.77,6881944,237.568371,V
2023-09-21,240.93,245.578,240.9,22333,245.14,1109168,241.770274,VRSK
2023-09-21,35.15,35.83,35.11,29356,35.62,2790385,35.423342,WRK
2023-09-21,114.76,117.37,114.6,145851,116.98,14409637,115.657989,XOM
2023-09-22,152.74,153.9,152.52,47103,153.9,3049310,153.111156,ABBV
2023-09-22,316.09,318.66,312.93,38787,314.04,1994392,316.300735,ACN
2023-09-22,79.17,79.8,79.04,36233,79.46,2515794,79.401813,AEP
2023-09-22,145.02,145.85,143.5228,9914,143.63,374878,144.820423,AIZ
2023-09-22,103.82,104.85,103.355,11392,104.08,513229,104.158469,ALLE
2023-09-22,136.17,138.31,135.75,87513,136.99,5301431,136.838739,AMAT
2023-09-22,333.49,337.87,333.045,10872,337.53,369292,334.851863,AMP
2023-09-22,129.12,132.03,128.52,486109,131.11,59904349,130.156803,AMZN
2023-09-22,177.64,179.96,177.39,15116,179.48,772506,178.343031,AVB
2023-09-22,180.86,182.63,180.46,10250,180.46,452725,181.472425,AVY
2023-09-22,153.08,155.04,152.92,43672,155.0,2380682,153.486895,AXP
2023-09-22,34.21,35.13,34.16,4979,34.98,198320,34.354257,B
2023-09-22,265.2,266.82,264.03,15614,264.46,633333,265.433498,BDX
2023-09-22,58.9,59.455,58.7725,68889,59.33,8191467,58.969388,BMY
2023-09-22,184.25,185.795,182.68,11207,183.34,414003,184.729471,BR
2023-09-22,52.87,53.39,52.4,35099,52.81,3466514,53.019794,CARR
2023-09-22,205.76,207.03,204.92,11467,204.92,414028,206.150223,CDW
2023-09-22,123.9,127.26,123.85,16195,125.75,731981,124.436544,CE
2023-09-22,445.21,456.92,444.725,23624,454.22,704539,447.827011,CHTR
2023-09-22,68.68,69.75,68.52,38758,69.28,4389698,68.84978,CNC
2023-09-22,28.3,28.5488,28.24,22885,28.3,2790010,28.375002,CNP
2023-09-22,119.16,121.18,119.04,49168,119.92,3641228,119.711012,COP
2023-09-22,504.75,509.99,504.195,14412,504.93,391406,506.377716,CTAS
2023-09-22,46.0,48.18,45.94,45292,47.92,3278518,46.53554,CZR
2023-09-22,108.14,110.59,107.72,66811,109.61,4582080,108.502432,DG
2023-09-22,381.35,383.4499,376.36,14228,379.31,456233,381.476267,DPZ
2023-09-22,20.3,20.57,20.22,17182,20.44,1547711,20.327001,DXC
2023-09-22,74.28,74.64,73.77,21846,73.77,1147843,74.294396,FTV
2023-09-22,131.25,133.01,130.51,193336,131.68,17355286,131.823677,GOOG
2023-09-22,146.35,147.3,145.36,12893,145.48,569793,146.481493,GPC
2023-09-22,72.98,73.49,72.72,17048,72.94,858649,73.088656,HIG
2023-09-22,15.8,16.09,15.78,34282,15.93,5857898,15.867382,HST
2023-09-22,145.73,147.51,145.19,94688,147.29,7071976,146.152283,JPM
2023-09-22,45.66,45.87,45.4,40098,45.7,3726585,45.674342,KR
2023-09-22,299.08,305.38,298.27,291200,299.3,25369592,301.5116,META
2023-09-22,18.26,18.77,18.22,26222,18.77,3089088,18.358409,OGN
2023-09-22,151.58,153.34,151.38,77316,152.44,6328164,152.034833,PG
2023-09-22,114.07,115.97,113.65,48894,114.55,3612311,114.527185,PLD
2023-09-22,25.13,25.42,25.01,25590,25.16,3310271,25.208697,PPL
2023-09-22,96.42,97.48,96.245,21267,97.13,1210043,96.605645,PRU
2023-09-22,57.88,59.19,57.835,124768,59.02,12756724,58.372093,PYPL
2023-09-22,103.78,104.6399,103.2,7585,103.97,332403,103.752707,R
2023-09-22,37.43,38.52,37.41,36627,37.95,9677775,37.563201,ROL
2023-09-22,111.66,113.48,111.53,33686,113.39,2050581,112.136209,ROST
2023-09-22,506.1,509.4288,498.03,91873,499.0,4558661,506.252237,UNH
2023-09-22,433.29,440.16,432.29,19038,434.74,521278,434.9343,URI
2023-09-22,235.08,237.79,234.88,90667,236.75,5935588,236.221702,V
2023-09-22,241.95,244.48,240.54,15297,240.93,544969,242.831781,VRSK
2023-09-22,35.24,35.86,35.18,32089,35.33,3297411,35.41986,WRK
2023-09-22,114.94,116.68,114.805,128041,115.705,13200214,115.487347,XOM
2023-09-25,154.65,154.74,151.66,54266,152.44,3740017,154.068832,ABBV
2023-09-25,316.99,318.68,314.88,43798,315.56,2054717,316.973676,ACN
